First_name,Middle_name,Last_name,Suffix,Job_title,Confirmed,Year_started,Year_ended,Administration_appointee,Party_affiliation,Employer,FTC_seat,Education,Previous_position,Type_of_previous_position,Generalized_previous_experience,Following_position,Type_of_following_position,Generalized following experience,Following_law_firms,Birth_year,Appointment_age,Source,Source2,Source3,Notes
Orson,,Swindle,,Commissioner,,1997,2005,,R,FTC,4,MBA,Twice unsuccessful candidate for House (HI); previously: Assistant Secretary of Commerce under Reagan,Government,Political,Law firm (Hunton & Williams),Law firm,Law firm,Hunton & Williams,1937,60,Wiki,Open Secrets,,
Jon,,Leibowitz,,Chair/commissioner,,2004,2013,,D,FTC,3,JD,"VP of Congressional affairs for Motion Pictures Association of America; previously: chief counsel/staff director of Senate antitrust/terrorism and technology/juvenile justice subcommittees, chief counsel to Sen Kohl, counsel to Sen Simon, private practice (unknown)",Industry,Political,Law firm partner/counsel (Davis Pollack & Wardwell),Law firm,Law firm,Davis Pollack & Wardwell,1958,46,Wiki,LinkedIn,,Wikipedia: successfully advocated for repeal of Obama-era regulations for current clients
George,C.,Mathews,,Commissioner,,1933,1934,,R,FTC,1,BA (economist?),"Director of Wisconsin Public Utilities Commission; previously: professor of public utilities at Northwestern, rate expert for Wisconsin Railroad Commission, public accounting firm",Government,"Political, academia","Member of SEC, VP for Northern States Power company, executive VP for Standard Gas and Electric company",Government,"Political, industry",,1886,47,Wiki,NYT obit,,
James,C.,Miller,III,Chair,,1981,1985,,R,FTC,2,"BBA, PhD (economics)","executive director of VP GHWB's Presidential Task Force on Regulatory Relief; previously: administrator of the Office of Information and Regulatory Affairs, scholar/co-director of AEI's center on government regulation, assistant professor",Government,"Political, academia","Budget Director for Reagan, law firms (Howrey, Husch Blackwell), member of Board of Governors of the U.S. Postal Service, private equity, scholar",Government,"Political, law firm",Howrey Husch Blackwell,1942,39,Personal website,NYT,Wiki,"NYT: ""But his thoughts of leaving predate all that. Mr. Miller is not a rich man, and he needs a higher salary to help him pay the tuitions of three children."""
Douglas,H. ,Ginsburg,,AAG antitrust,,1985,1986,Reagan,NA,DOJ,NA,"JD, BS","Principal Deputy AAG of antitrust; previously: Administrator of Office of Info and Regulatory Affairs, OMB in Reagan administration, professor at Harvard Law",Government,"Political, academia","Federal judge (DC Court of Appeals), adjunct at George Mason law, nominated for SCOTUS",Government,Political,,1946,39,link,,,
John,,Carson,,Commissioner,,1948,1953,,Independent,FTC,1,None,"Information director for Cooperative League of US; previously: government (economic advisor for Sen Couzens, clerked Senate committees, member on Consumers Council) journalist ",Government,"Political, civil servant",Unclear,Unclear,Unclear,,1889,59,NYT,Senate hearing records,,
Leonard,,Bessman,,AAG antitrust,,1950,1951,Truman,NA,DOJ,NA,Law,Assistant Attorney General of Wisconsin in charge of antitrust; previously: special attorney for antitrust division of DOJ,Government,"Political, civil servant","Private practice, chairman of Wisconsin public service commission, US bankruptcy judge",Private practice,Private practice,,1909,41,"See ""Documents"" folder",Obit in local paper,,"In nomination testimony Bessman states that AAG for antitrust created ""1 year ago"""
Stephen,J.,Spingarn,,Commissioner,,1950,1953,,D,FTC,2,Law,"Administrative Assistant to President Truman; previously: Special Counsel to President Truman, lawyer at Dept of Treasury",Government,"Political, civil servant","Unclear, served on Democratic National Committee Small Business Advisor Committee",Unclear,Unclear,,1908,42,Wiki,JFK library,,
H.,Graham,Morison,,AAG antitrust,,1951,1952,Truman,NA,DOJ,NA,Law,"Acting Deputy Attorney General; previously: AAG of civil division, executive assistant to AG, special assistant to AG, other government roles during WWII, private practice",Government,"Political, civil servant",Law firm,Law firm,Law firm,Unclear,1907,44,Truman library,Truman library oral history,,
Lee,,Loevinger,,AAG antitrust,,1961,1963,JFK,NA,DOJ,NA,JD,"Judge (MN Supreme Court); previously: trial lawyer for National Labor Relations Board in NY, lawyer at DOJ antitrust",Government,"Political, civil servant",member of FCC,Government,Political,,1913,48,link,,,
John,R.,Reilly,,Commissioner,,1964,1967,,D,FTC,4,Law,"Aide to AG Kennedy; previously: Kennedy campaign, trial lawyer for DOJ antitrust",Government,"Political, civil servant","Law firm (Pierson, Ball & Dowd, Winston & Strawn), other Democratic campaigns",Law firm,Law firm,"Pierson, Ball & Dowd, Winston & Strawn",1928,36,Wiki,NYT obit,,Close ally of Kennedys
Vernon,W.,Van Fleet,,Chair/commissioner,,1922,1926,,R,FTC,5,Law,"special assistant to AG; previously: judge of Indiana Superior Court, member of Indiana House of Representatives, involved with Indiana state Republican party",Government,"Political, civil service",Private practice (unclear),Private practice,Private practice,,1866,56,Wiki,NYT obit,NYT2,
Mary,L.,Azcuenaga,,Commissioner,,1984,1998,,Independent,FTC,5,Law,Assistant General Counsel for Legal Counsel at FTC; previously: staff lawyer for FTC (various positions),Government,"Political, civil service","Law firm (Heller Ehrman, Baker & McKenzie), independent consultant for regulatory reform",Law firm,Law firm,"Heller Ehrman, Baker & McKenzie",1945,39,FTC bio,LinkedIn,,
Andrew,J.,Strenio,Jr.,Commissioner,,1986,1991,,D,FTC,3,"JD, MPP","member of the Interstate Commerce Commission; previously: assistant director for regulatory evaluation at FTC, staff economist/lawyer for President's Council of Economic Advisers",Government,"Political, civil service","Law firm (Fox, Bennett & Turner)",Law firm,Law firm,Fox Bennett & Turner,1953,33,NYT1,NYT2,Bloomberg bio,Also very young
Roscoe,B.,Starek,III,Commissioner,,1990,1997,,R,FTC,4,JD,"Deputy Assistant to President GHWB and Deputy Director of Presidential Personnel; previously: several positions at State Dept, House committees, Ford White House",Government,"Political, civil service",Unclear,Unclear,Unclear,,1946,44,FTC bio,,,
John,Franklin,Fort,,Chair/commissioner,,1917,1919,,R,FTC,1,LLB,"US Special Envoy to Santo Domingo/Haiti/Dominican Republic; previously: governor of NJ, state judge (State Supreme Court, District Court in Newark)",Government,"Political, electoral",Died,Died,Died,,1852,65,Wiki,"See ""Documents"" folder",,
Raymond,B.,Stevens,,Commissioner,,1933,1933,,D,FTC,3,Law,"Advisor in foreign affairs to King of Siam; previously: VP of US Shipping Board, US rep to Allied Maritime Council, FTC special counsel, member of House (NH), state house member (NH), private practice",Government,"Political, electoral","Advisor in foreign affairs to King of Saigon, member of Federal Tarriff Commission",Government,Political,,1874,59,Wiki,Congress bio,,
Thurman,,Arnold,,AAG antitrust,,1938,1943,FDR,NA,DOJ,NA,LLB,"Special assistant to general counsel of Agricultural Adjustment Administration; previously: state representative/mayor Wyoming, faculty at various law schools, private law practice in Chicago and WY",Government,"Political, electoral","Federal Judge (DC Court of Appeals), resigned in 1945 and went into private practice (co-founded Arnold and Porter)",Government,"Political, law firm",Arnold & Porter,1891,47,FJC,Wiki,,
Caspar,W.,Weinberger,,Chair/commissioner,,1969,1970,,R,FTC,4,LLB,"CA state director of finance; previously: chairman of Commission on California State Government Organization and Economy, chairman of CA Republican Party, CA Assemblyman, law firm (unknown), law clerk for federal judge",Government,"Political, electoral","Deputy director of OMB, director of OMB, Secretary of HHS, VP and General Counsel of Bechtel Corp, Secretary of Defense, publisher of Forbes",Government,Political,,1917,52,Wiki,,,
Victor,,Murdock,,Chair(x2)/commissioner,,1917,1924,,Progressive,FTC,2,Primary,"War correspondent; previously: chairman of National Committee of the Progressive Party, House member from KS, clerk at KS appellate court, newspaper editor, journalist",Journalist,"Political, electoral, industry",Newspaper editor,Journalist,Industry,,1871,46,Wiki,House bios,,
Janet,D.,Steiger,,Chair/commissioner,,1989,1997,GHWB,R,FTC,2,BA,"Chairman of the Postal Rate Commission; previously: private company, research associate at the National Academy of Public Administration",Government,"Political, industry",Unclear,Unclear,Unclear,,1939,50,WaPo,Wiki,,Wife of Congressman
Rohit,,Chopra,,Commissioner,Yes,2018,NA,Trump,D,FTC,5,MBA,"Special Adviser to the Secretary of Education; previously: mostly government (CFPB, Dept. of Education) as well as McKinsey",Government,"Political, industry",NA,NA,NA,,1982,36,FTC bios,"See ""Documents""",,
Mary,Gardiner,Jones,,Commissioner,,1964,1973,,R,FTC,1,Law,"Lawyer in DOJ antitrust division; previously: law firm (Donovan, Leisure, Newton & Irvine), analyst Office of Strategic Services",Government,"Political, law firm","VP at Western Union Telegraph Company, Law lecturer (University of Illinois), founder/president of Consumer Interest Research Institute",Industry,Industry,,1920,44,NYT obit,Wiki,,Shifted political affiliation over life from Republican to Democrat
John,H. ,Shenefield,,AAG antitrust,,1977,1979,Carter,NA,DOJ,NA,LLB,"Deputy Assistant Attorney General of antitrust (?); previously: law firm (Hunton and Williams), professor of economics",Government,"Political, law firm","Law firm (Morgan, Lewis & Bockius)",Law firm,Law firm,Morgan Lewis & Bockius,1939,38,Wiki,NYT,,
J.,Paul,McGrath,,AAG antitrust,,1983,1985,Reagan,NA,DOJ,NA,LLB,"AAG of Civil Division; previously: law firm partner (Dewey, Ballantine, Bushby & Wood)",Government,"Political, law firm","General counsel at various corporations (AlliedSignal Engineered Materials, FMC Corporation, etc.)",Industry,Industry,,1940,43,NYT,NJ Star-Ledger obit,,
Daniel,,Oliver,,Chair,,1986,1989,,R,FTC,2,LLB,"Reagan admin General Counsel of the Department of Agriculture; previously: General Counsel at the Department of Education, director of American Conservative Union, law firm (Hawkins, Delafield & Wood, Alexander & Green)",Government,"Political, law firm","Fellow at Heritage Foundation, other think-tanks, chairman of private company",Academia,"Academia, industry",,1939,47,Wiki,Independent Institute,Prabook,
Charles,,James,,AAG antitrust,,1992,1992,acting,NA,DOJ,NA,JD,"Deputy AAG of antitrust; previously: law firm (Jones Day), Assistant to Director of FTC's Bureau of Competition",Government,"Political, law firm",Law firm (Jones Day),Law firm,Law firm,Jones Day,1954,38,Wiki,Justice,,
Christine,A. ,Varney,,Commissioner,,1994,1997,,D,FTC,3,"JD, MPA","Assistant to President Clinton and Secretary of the Cabinet; previously: law firm (Hogan & Hartson), general counsel for Dem National Committee, various Clinton 1992 campaign positions",Government,"Political, law firm","Law firm (Hogan & Hartson), AAG of DOJ antitrust, law firm partner (Cravath)",Law firm,"Law firm, political","Hogan & Hartson, Cravath",1955,39,Wiki,ACS bio,Cravath bio,
Sheila,F. ,Anthony,,Commissioner,,1997,2003,,D,FTC,2,Law,"AAG of legislative affairs at DOJ; previously: law firm (Dow, Lohnes & Albertson)",Government,"Political, law firm",Unclear,Unclear,Unclear,,,NA,FTC bio,,,Wife of Congressman
Mozelle,W.,Thompson,,Commissioner,,1997,2004,,D,FTC,3,"JD, MPP","Principal Deputy Assistant Secretary at Treasury Dept; previously: various positions in NY state government's AG office, law firm (Skadden, Arps, Slate, Meagher & Flom), law clerk for federal judge",Government,"Political, law firm",Founder/CEO of Thompson Strategic Consulting (clients are big tech and entertainment companies),Industry,Industry,,1954,43,Wiki,ABA interview,,
Douglas,,Melamed,,AAG antitrust,,2000,2001,acting,NA,DOJ,NA,JD,"Principal Deputy AAG of antitrust; previously: partner at law firm (Wilmer, Cutler and Pickering)",Government,"Political, law firm","Law firm (chair of antitrust group at WilmerHale), senior VP and General Counsel of Intel, professor at Stanford Law",Law firm,"Law firm, industry, academia",WilmerHale,1945,55,link,link2,,
Charles,,James,,AAG antitrust,,2001,2003,GWB,NA,DOJ,NA,JD,"Law firm (Jones Day, chaired antitrust division); previously: Acting AAG of antitrust, Deputy AAG of antitrust, Assistant to Director of FTC's Bureau of Competition",Law firm,"Political, law firm","VP and General Counsel of Chevron-Texaco, adjunct prof ASU Law",Industry,Industry,,1954,47,Wiki,Justice,,
Thomas,O.,Barnett,,AAG antitrust,,2005,2008,GWB,NA,DOJ,NA,"JD, MS in Economics","Deputy  AAG of civil enforcement; previously: partner at law firm (Covington & Burling, vice chair of antitrust group), only public service prior is federal clerk",Government,"Political, law firm",Law firm (co-chair of antitrust group at Covington),Law firm,Law firm,Covington & Burling,1963,42,Justice,Covington,,
Julie,,Brill,,Commissioner,,2010,2016,,D,FTC,2,"JD, BA (economics)","Senior Deputy AG of antitrust in North Carolina; previously: Vermont AAG for antitrust, law firm (Paul Weiss), clerked for federal court",Government,"Political, law firm","Partner at law firm (Hogan Lovells), VP/general counsel at Microsoft",Law firm,"Law firm, industry",Hogan Lovells,1958,52,Wiki,LinkedIn,FTC bio,
Joseph,F.,Wayland,,AAG antitrust,,2012,2012,acting,NA,DOJ,NA,JD,Senior counsel at FTC; previously: law firm (Wilson Sonsini Goodrich & Rosati) and DOJ staff attorney,Government,"Political, law firm","Deputy Assistant Attorney General (unclear division), law firm partner (Sullivan & Cromwell)",Government,"Political, law firm",Sullivan & Cromwell,1957,55,,,,
Terrell,,McSweeny,,Commissioner,,2014,2018,,R,FTC,3,JD,"Chief counsel for section of DOJ antitrust; previously: Deputy Assistant to President Obama, VP Biden Domestic Policy Advisor, Biden Senate staff, counsel for Senate Judiciary committee, law firm (O'Melveny & Myers)",Government,"Political, law firm",Partner at law firm (Covington & Burling),Law firm,Law firm,Covington & Burling,,NA,Wiki,LinkedIn,,
Rebecca,,Slaughter,,Acting chair,Yes,2018,NA,Trump,D,FTC,1,JD,Chief Counsel for Sen. Schumer; previously: law firm experience (Sidley Austin LLP),Government,"Political, law firm",NA,NA,NA,,1980,38,FTC bios,,,
Noah,Joshua,Phillips,,Commissioner,Yes,2018,NA,Trump,R,FTC,2,JD,"Chief Counsel for Sen. Cornyn; previously: advised Judiciary committee, law firms (unclear)",Government,"Political, law firm",NA,NA,NA,,1978,40,link,,,
Sharis,,Pozen,,AAG antitrust,,2011,2012,acting,NA,DOJ,NA,JD,"Chief of Staff at DOJ; previously: law firm partner (Hogan & Hartson), staff attorney at FTC (10+ years)",Government,"Political, law firm, civil service","Law firm partner, competition and antitrust counsel at GE",Law firm,"Law firm, industry",Unclear,1963,48,Bloomberg,,,
William,Joseph,Donovan,,AAG antitrust,,1926,1927,Coolidge,NA,DOJ,NA,Law,"AAG of Criminal Division; previously: state AG, private practice",Government,"Political, private practice",Private practice; intelligence community work,Private practice,"Political, private practice",,1883,43,DOJ website,Wiki,,
Edward,K.,Mills,Jr. ,Commissioner,,1960,1961,,R,FTC,5,Law,"Unclear likely private law practice; previously: mayor, organized for Eisenhower",Private practice,"Political, private practice",Unclear,Unclear,Unclear,,1905,55,NYT obit,NYT,,
A.,Leon,Higginbotham,,Commissioner,,1962,1964,,D,FTC,4,Law,Law practice; previously: assistant district attorney for Philadelphia,Private practice,"Political, private practice","Federal judge (PA district court), LBJ advisor, US Court of Appeals judge, adjunct professor, law firm (Paul Weiss)",Government,Political,,1928,34,Wiki,NYT obit,NYT (offensive name in headline),Very young when appointed
Edwin,,Zimmerman,,AAG antitrust,,1968,1969,LBJ,NA,DOJ,NA,Law,"Deputy AAG in antitrust; previously: private practice, lecturer at Stanford Law, SCOTUS law clerk",Government,"Political, private practice",Law firm (Covington and Burling),Law firm,Law firm,Covington & Burling,1924,44,WaPo,,,
Garland,S.,Ferguson,,Chair (x4)/commissioner,,1927,1949,,D,FTC,4,Law,"Law practice in NC; previously: assistant general counsel for shipping company, law practice",Private practice,Private practice,Likely retired,Retired,Retired,,1878,49,Wiki,NYT obit,,
Anne,,Bingaman,,AAG antitrust,,1993,1996,Clinton,NA,DOJ,NA,JD,Private lawyer; previously: professor (U of New Mexico Law),Private practice,Private practice,"Lawyer at telecom company (unknown), founder/CEO of telecom company",Industry,Industry,,1943,50,NYT,Stanford Law,,Lots of media rhetoric about AAG reversing Reagan trends (https://www.nytimes.com/1993/07/25/business/profile-anne-k-bingaman-rousing-antitrust-law-from-its-12-year-nap.html); would be interesting to see if it made a difference; Senator's wife
Albert,A.,Carretta,,Commissioner,,1952,1954,,D,FTC,3,"Economics, law","Law practice (unknown) and law lecturer; previously: worked for SEC, taught economics",Private practice,"Private practice, civil servant",Law practice (represented corporations and trade associations before federal agencies),Private practice,Private practice,,1907,45,NYT,,,
Edward,F.,Howrey,,Chair,,1953,1955,,R,FTC,1,LLB,Private law practice in DC and Chicago; previously: DOJ attorney in antitrust division,Private practice,"Private practice, civil servant",Law firm (Howrey) founder and specializes in antitrust,Law firm,Law firm,Howrey,1903,50,Wiki,,,
Lowell,B. ,Mason,,Chair/commissioner,,1945,1956,,R,FTC,5,LLB,"Private practice (unknown but practiced in front of the FTC); previously: counsel for various Senate committees, General Counsel, National Industrial Review Board, member of Illinois State Senate",Private practice,"Private practice, civil servant, electoral",Law practice (unclear),Law firm,Law firm,Unclear,1893,52,Wiki,Truman library,NYT,NYT: compares 10k salary of FTC commissioner to 37k salary of lawyer; son of a former Republican Senator
William,E.,Humphrey,,Chair(x2)/commissioner,,1925,1933,,R,FTC,1,Law,"Law practice; previously: member of House representing WA, ran for Senate unsuccessfully ",Private practice,"Private practice, electoral",Died,Died,Died,,1862,63,Congress bio,Wiki,,"Successfully sued FDR for termination that violated presidential powers, died before resolution"
John,Lord,O'Brian,,AAG antitrust,,1929,1933,Hoover,NA,DOJ,NA,LLB,"Private practice; previously: US Attorney for Western District of NY, Head of War Emergency Division of DOJ",Private practice,"Private practice, electoral",Private practice (in Buffalo and later Covington & Burlin),Private practice,"Private practice, law firm",Covington & Burling,1874,55,Wiki,NY obit,,
Nelson,Burr,Gaskill,,Chair/commissioner,,1920,1925,,R,FTC,1,Law,"Unclear; previously: NJ Assistant Attorney General, NJ National Guard",Unclear,Unclear,Unclear,Unclear,Unclear,,1875,45,Wiki,Coolidge docs,,Not reappointed by Coolidge in 1925 (replaced by pro-business commissioner)
Mayo,J.,Thompson,,Commissioner,,1973,1975,,D,FTC,3,"BS, LLB",Unclear (probably law firm),Unclear,Unclear,Unclear (probably law firm),Unclear,Unclear,,1919,54,Prabook,,,
Newell,A. ,Clapp,,AAG antitrust,,1952,1953,acting,NA,DOJ,NA,Law,,,,,,,,,,,,,Unknown; likely DOJ staff because acting position; confirmed served in Truman admin
